No,message,score,socre2
11,占道经营 领导您好:我是广宗县市民今天给您反应的问题是，国道邢清线广宗段境内河北万达轮胎公司正门斜对面无证商贩非常多占道经营非常严重，严重影响市民出行存在很大安全隐患，而且也把附近环境卫生搞得脏兮兮的希望有关部门重视一下尽快彻底解决国庆节马上就要到来，为市民及国庆节创造一个优美的环境。,4,5
12,停电封路家不能住成钉子户 尊敬的省委书记你好;我是莘县燕塔街道大刘庄村村民，我父母离婚，我和母亲一个户口，按照从结婚到离婚时间，我母亲在我村20多年，到现在都30年了（我母亲已经50多了），村里不给我母亲应得的权益。说离婚了就没有女方的了。我去找办事处，办事处说让我找村里。去年夏天村里拆迁，我支持拆迁支持政策，但是因为很多补偿问题我没有同意（没有我母亲的），在不知道的情况下，把电表偷走，把电停了。当时我胡同那里还有腐肉，臭味熏天，路都弄坏了。因为孩子上学吃饭等等，没办法在村里住，我就搬出来租的房子。现在我成功的成为了钉子户。希望省委书记在百忙之中，抽出一点时间，抽出一点精力，为我家评评理，主持公道。,4.5,3
13,房产证不能办理 本人于2014年买云梦南城公馆商品房一套至今不能办理房产证，找当地部门也一在推脱，希望您们能协助督办！！,6.5,6
14,耕地被强行开挖 我是山丹县位奇镇张湾村社村民，因耕地被山丹县水电局施工队未经本人同意强行开挖，本人阻止未果，水管道现已安装回填，本人多次反应至村委会，但久不见回音。本人恳请人民政府给我一个说法，盼盼盼！,7,4.5
15,想咨询下S303五陵到安阳段什么时候修 张市长你好：我想问下S303，五陵到安阳段什么时候修？！尽快修吧，五陵那个三县两市交界处已经不能走人了，这条省道打通了，安阳和濮阳之间就更近了，有利于两市的经济发展。,6.5,7
16,义乌商贸城附近工地通宵达旦施工，严重形象居民 加快三门峡商务区建设本来我们市民期待的，但是不能为了一味追求快，而影响附近小区业主门的休息时间啊，义乌商贸城旁边工地通宵达旦的干的热火朝天，我们白天还要上班，晚上休息不好。建议有关部门给施工方规定合理的施工时间，还附近业主一个安静的休息时间吧！,6.5,4
17,还我血汗钱，农民工要吃饭。 尊敬的领导，我在榆中县大剧院甘肃建投四建的工地上干了活工资一直被拖欠，一家老小等着吃饭呢？分包老板四川重庆李杰打的欠条也到期了我该怎么办？望有关领导给予帮助，实在走投无路了？,3,2.5
18,南关区长大小区供暖无着落 尊敬的市长您好，我和老公15年结婚一直住在南关区长大小区，小区之前一直是小锅炉供暖，特别冷，这两年冬天在屋里都是开电暖气穿棉裤和厚外套度过的，今年说集中供热了，我们都特别高兴，冬天终于不用受冻了，但至今没有没有通知哪里接收，该去哪里交钱，大人冷点还挺得住，但是孩子怎么办，希望各有关部门能体察民情，换位思考，请领导重视并给予帮助，从这个冬天开始我们长大小区的居民不用受冻了,5,4.5
19,独生子女补贴 我已退休，是城镇户口，企业已改制，有独生子女证，去何处领取独生子女补贴。,1.5,5.5
20,反映辞退部分代课老师的问题 领导，您好！我是濮阳杂技学校的一名代课老师，我们部分代课老师在那工作少的五六年，多的十几年了，濮阳杂技学校新学期换校长后，致使一部分代课时间长的教师无法上班，我们工作了那么多年说不让上就不让上了，也不给个说法，如果不让上班，希望能按有关规定给与赔偿。谢谢！,5,5
21,购6幅字，想退4幅，卖家不退且不提供发票收据 领导您好：我与爱人于9月28-10月7日报的云南10日团（去哪儿丽江旅游旗舰店，产品编号：783663514）。10月5日，摩梭篝火晚会开始前，因当时主持人介绍所以才买了6幅（其中4幅是成品，挂于屋内；另外2幅是按我们要求写的）。买后当晚，我认为买多了且有被忽悠之感，所以想退掉其中4幅，卖家采用拖延策略（明知我们次日早上走，说让我们次日晚上到篝火晚会现场去退），导致我们无法退货。且卖家以这是临时搞活动为理由，不提供任何发票和收据。云南风景秀丽，物产丰富，其他购物店都是30天内无理由退货，也让游客明白方向的购物。而这次买的字画比较多，我想退掉其中4幅，但卖家找理由推脱。请领导予以协调和帮忙。在此感谢各位领导，祝好！,4,5
22,未享受国家补贴政策 我是卫辉市孙杏村镇七里铺村的一名社员，我的2019年的粮食直补被扣了，现在小麦都已经收过了，也没能享受国家补贴政策，现在也不知道该去哪里找，请王市长能帮我解决，给领导添麻烦了。,3.5,4.5
23,购房资格咨询 尊敬的书记：您好！想咨询一下，我在成都范围内社保已经有24个月了，期间由于工作变动，在入职新公司时，新公司当月社保扣费时间已经过了，因此在第二个月时，公司一起缴纳了上个月和本月的社保，社保月份没断，但是上个月的社保显示是补收，请问这样会影响我的购房资格吗？,3,5
24,农村宽带覆盖问题 我是亳州市十八里镇孙口大队卢张庄村，可是我们农村都没有通宽带，最近两年外出务工也不理想，家里有老人孩子，所以返乡自主创业，网络对于我们年轻人也是至关重要的，查查资料，好多技术性的东西都可以在网上学学，通过网络也可以把我们的农副产品找找销路。手机包含的宽带不能用，还要额外支付高额的流量费。恳求领导能否督促我们地方多关注我们农村！非常感谢！,4.5,4
25,我在永城丰庄未来城买的房子，到底他们那里给办 开发商骗人，说电厂会搬走，会办房产证，不知到底能办吗,3,7
26,实验中学家属院下水道井盖坏了，迟迟不见换。 尊敬的吴书记；铁南路东段实验中学家属院里有几处下水道井盖坏掉了好多天了，迟迟也不见换掉。现在小孩也已经放假，这里住的小孩也多，小孩正调皮，也快过春节了。希望能及时给换了，免得发生意外。,6.5,5
27,乡村水泥路建设咨询 书记您好！我是马家乡华林村五组村民，上次反应的五社连接六社的防火通道问题一直没有得到回复，出行困难十几年得不到改善，一事一议也总是能不到我们，请问该怎么申请？希望书记您百忙之中抽时间安排了解一下，万分感谢！！！,5,4.5
28,陈桥镇王庄村拆迁问题 我有几个问题，麻烦知道的领导出来解答下：1、这次拆迁的房屋交付的时候有没合同或者产权证？2、拆迁房都是有国家标准要求的，我们即将搬迁的小区，相关的施工有没有招投标的程序文件，目前的房屋各项指标是不是能达到国家标准的要求？能不能把不涉密的部分向公众公示？3、后期房屋交付给村民的标准是什么？请把标准公示出来4、房屋交付时候时候有第三方按照标准进行验收，如果有不合格的地方谁负责？5、拆迁补助的政策是什么样的？6、我的户口在老家，我老婆和孩子的户口在外地，请问他们有分房的权力吗？,5,7.5
29,摆摊严重泛滥 尊敬的市长，您好，我是一位在杏林杏滨街道日新路这开餐饮店的小店主，在我店铺周围都是各种各样的小吃摆摊，炒粉炒面砂锅，各种种类都有，一辆小三轮骑到我们店门口停着，就在边上摆上三五张小桌，店门口都给他们挡着了，我们该怎么做生意？然后，他们过了饭点车子一骑就走了，留下满地垃圾在店门口，环卫工人又没有及时来清扫，对我们造成很大影响，而且因为他们的成本低廉，不用店租，食材质量不用保证，什么便宜用什么，所以他们的售价也便宜，对于我们这种小型的餐饮店来说，造成我们很大困扰。这里城管就每天早上七点多来检查一回，让他们不要摆，到中午晚上他们就又摆出来了，但是这时候都没有城管来管理，说实话，都是出来赚钱的，我也希望他们能好好过生活，但是我们开店的还要交房租，还要物业管理费，垃圾清理费，现在房租也高，物价也贵，我们也不容易，希望市政府能合理的解决一下这个问题！谢谢,6.5,5
30,留给青海湖的净 去年我去青海湖了，湖边正在建的宾馆让人失望，将来会有很多拉圾的，请保待干净的青海湖。,6.5,6.5
31,收费过高，一电瓶车，收费都高达50。60咯 我是武侯区火车南站12号的一个租户，在成都打工不容易，在这个小区租房2年了，由于上班必须得骑电瓶车，小区守车棚的大叔停车费价格，分别是45元/月，而他们本小区的住户每月只需交25元的停车费，我想知道他们这是属于乱收费吗？还有我们国家有明文规定租户必须比房主多交停车费的规定吗？希望领导或者有关部门查处一下。谢谢！,5.5,5
32,请问城市失业人员有最低生活补助吗！ 尊敬的省委书记！请允许我在您百忙之中打扰您，我爱人于1992年因云南印染厂倒闭失业，失业后在多个单位打过零工维持生活，今年他57岁，但因身体不好，找不到活干，没有经济来源，请问政府有相应的救助政策吗？,2.5,4
33,政府城管街道办不管，屋主猖狂乱摆卖，投诉无门 位于西乡塘区，安吉车站对面的屯里村，虽说有环卫工清洁，但是由于都是本村人作业，所以清洁工作结果不明显，大量的如：木头砖头到处堆积，随意搭建篷布，非法经营洗车场，由于不是主干道，街道办，还有城管部门很少来管制，就是形式上的巡逻罢了，所以屋主们便是大张旗鼓的各家做起了买卖，水果的，肉的，鸡鸭鱼样样齐全，这样的情况已经持续有久，严重影响到我们租客的生活环境，一大早就开始吵到晚上为止，最要紧的是大商汇十字路口有个城管执勤点，竟然隔不到一千米的地方就沸沸扬扬的搞起，难道他们真的不懂么？还是不归他们管呢，这算不算是一种失职的表现呢，还是我们的执勤管理力度和范围要求就是仅此而已？期待你们尽快处理吧,8,6.5
34,森林家园一区无良物业乱收费 森林家园一区的常安物业，物业服务不到位，电梯出现夹人，滑梯等现象，不与管理，并且电梯没有检测报告。小区停车位属无于产权，且业主买房时缴纳了土地出让金，对于停车位有使用权，但物业不允许没有租车位的业主进入小区，或者要求进入小区停车的业主缴纳停车费用。交房时需要业主缴纳物业费，从拿钥匙当天起，一并交到2019年年底，不然不给钥匙不与交房。物业服务态度极差，多次把已经入住的业主堵在小区门口不让业主的车进入。希望有关部门能给予我们帮助，解决物业乱收物业费和车位租赁费用等事。不要说物业费等是市场调节，他收1.1的物业费而且不包括电梯费，自来水二次加压等费用，并不便宜，但他并没有做到1.1得收费标准。下面的图片是我们去小区时遇到保安不让没有租赁车位业主进小区的照片。,7.5,7
35,死亡之路何时止步 国道314线，博白县水鸣那洋江桥头至永安乡木工场路段不足4公里，自建成硬化路至现在才三年多时间，但是车祸经常发生，因车祸死亡的人数高达50多人，望有关部门高度关注，查出原因，还人民一条平安路。,6.5,5.5
36,请市长务必回答，万分感谢！ 请问，淮南理工大学本部，什么时候能搬迁到山南新校区？我老公是刚从矿务局工作下来，我们自己想找点小本生意干干，找到理工大本部附近一间小门面，可是听说学校要搬迁，心里顿时凉了，请问，理工大到底啥时候能搬迁？具体怎么搬迁？求回答！！！,3.5,5
37,华旌名弟安装铝合金门窗 尊敬的市长您好！我叫姚XX，是一名农民工，2013年由我组织工人为东胜华旌名弟承建了铝合金门窗安装工程，至今尚欠农民工工资20多万。2013年8月份，我承接了邵某（辰运祥玻璃铝合金公司法人代表）在华旌名弟的铝合金门窗安装工程，随后签订了该工程轻包合同，组织工人开始施工，到2013年12月份完成了安装任务，邵国良付我3万多生活费，加上华旌名弟开发商总9万元，再无付款。工人工资至今未付。多次协商无果。（工程重包总造价约300万，是由邵国良与华旌名弟开发商签订的该工程合同，所有工程现已全部完工，开发商给邵国良支付了100多万的材料费，再无支付，邵某等开发商付他工程款，才有钱付我们）。我是一名普通农民工，每天承受着工人讨薪的压力，这些人都是家庭中的顶梁柱，有孩子要上学的，有父亲要看病的，有的连吃饭钱都是问题，我们现已到穷困潦倒的地步，每晚的睡不着觉。为了避免更严重的事情发生，我求助市领导给予帮忙解决。我代表我所有农民工谢谢市长。,5,3.5
38,金桥公司换热站不给换热 金桥公司不给换热，我们房子很冷，找了好多遍没人管，求求领导百忙之中问问此事。,3,2.5
39,汉阳阳新路碧桂园建筑施工严重扰民。 阳新路碧桂园盖房子，每天24小时不停气的工程车子的噪音，打桩机的噪音、挖土机的噪音等等，不管白天还是凌晨，天天如此，家里有宝宝，这样的噪音对人有大的影响。越是晚上施工噪音越大，而且还是连续施工。望能尽快解决谢谢了。,5,6
40,子胥大道至利辛东高速入口的打通迫在眉睫 程书记你好：随着我县老百姓经济收入的提高私家车不断增多以及利辛到合肥高速的开通，利辛城东交通压力增大，特别是阜蒙路双桥十字路口，交通堵车情况严重，双桥枢纽已不能满足利辛发展的需要，为此建议：尽快打通子胥大道到利辛东高速入口，一是缓解双桥交通压力，二是可以让小轿车快速出入利辛城市中心，三是大客大货车可以不进程就可以直接西进北上，子胥大道到利辛东高速入口的链接迫在眉睫，修通后利辛东部崛起指日可待。,6.5,6
41,土地被修路占用，补偿问题 楼省长您好：我是垣曲县新城镇左家湾村民，近期县里修路，在没有下发征地文件的情况下，占用我村大量耕地，并没有给于任何补偿。请领导百忙之中过问一下此事，给老百姓一个公道，先谢谢了。,6,4.5
42,绿色商城东门对面有人侵占公共资源， 绿色商城东门对面的一条小巷子，本来是共群众行走方便的，大约三个月前，有人违法侵占公共资源，把小巷子的一头装上了防盗门，还上了锁，给过往的群众造成了不便，同时，周围的老百姓早在三个多月前，就多次向城管执法局反映，至今没有结果，经手办理的城管局工作人员竟然说，门虽然建了，但锁没有锁，是为大家好，得到的是搪塞和推脱，我觉得难以服众，我想以后如果小巷子周边要是拆迁的话，本属于公共资源财产的小巷子，就会被有心之人侵吞蚕食，城管执法局这种不作为，是否符合现在打造服务型政府的形象，是否真的把人民群众的利益放在第一位？,8,6.5
43,小区规划、绿地被随意破坏，政府部门不作为。 阜南县城市花园小区一楼业主随意私自改建，破坏公共绿地；随意开门占用公共道路。2015年7月13日阜南县规划局、市容局、房产局联合下发了整改通知，到现在也没有见到任何整改落实的情况。反而越演越烈，后来一楼业主争相效仿，二期7#一楼业主更过分。恳请书记大人过问下这些单位纯粹不作为的行为（光下个通知，不整改落实）。恳请按通知中的要求彻底整改。,7,3.5
44,锦绣城建A4住宅楼跟地下停车场使我家房屋成危房 尊敬的领导您好我叫郭X虎，现年57岁，甘肃省正宁县三河镇西关村三组农民，因正宁县锦绣城修建A4住宅楼（共18层），导致我家住宅基础出现严重裂缝，无法居住。现向各级组织反应，请求予以解决。2013年4月份我在各级批拨的0.4亩宅基地上修建住宅（现锦绣城小区A区东面）举债修建住宅，2013年7月竣工。2017年正宁县景秀城A区A4住宅楼动工修建，因我家住宅正房背面与锦绣城域A区A4住宅楼跟锦绣城地下车库基坑不足2米多A4住宅楼深挖基础，基坑深达十几米，大型机械昼夜施工，机械振动加之后季雨水增多雨水长期在基坑浸泡，锦绣城无人对此妥善处理，致使我家住宅现已向锦绣城A4幢施工方向倾斜10公分左右，现已成危房无法居住，我家正房南面一处闲余空地因锦绣城修建地下车库大面积开挖基坑出现严重塌方。在我家住宅地基出现裂缝时，我多次寻找村镇两级组织及锦绣城施工方，经协商最终锦绣城决定给予我家一万元做租房使用，锦绣城随后组织工作人员处理我家房屋地基裂缝一事，但时至今日时间长达两年多久，景秀城依然对我家房屋地基裂缝一事不闻不问，期间我多次寻找催促他们，锦绣城态度蛮横，推诿扯皮。并称，我家房屋地基开裂与他们无关。那么请问，与锦绣城无关为何当时给我家一万元的租房费用？至今为止，我家上下三代几口人居住在我家院子里的两间平方，正房随时都有因锦绣城施工造成坍塌的可能，随时危机我家人的生命危险，我实在别无他法，请求组织给予协调处理锦绣城给我家造成的住房困扰问题。还我家一处安全的住宅环境。下面照片是我家现在房屋裂缝状况。,7,5
45,中原路北的中原纱厂安置房破旧不堪 我家住中原路劳动中街交叉口西原中原纱厂安置房，现在安置房破旧不堪，房屋漏水，电线私拉乱扯的像蜘蛛网，楼下每天早上都是卖菜的，这排房子已经严重的影响了我们的居住和城市的市容，我也看了西边的房子都已经拆迁了，我想知道我们住的这栋房子要到什么时候拆迁了？,5,6.5
46,太原东南站 太原东南站什么时候正式运行呀，还有就是北营北路会在2020年通车么，郑村呢面已经修到煤机宿舍楼后了，会顺利拆迁么。,2.5,6
47,三门峡将成为养老居家之地 我市逐步完善旅游休闲观光及各方面服务，逐步会变成养老居家的首选之地，国家对养老扶持资金给予大力支持，让所有到过天鹅城的人流连忘返，养老宣传做大做强。有刘南昌书记及安市长大刀阔斧的干劲，让所有峡市人民及旅游的人大大的受益。谢谢您们及各局长的积极努力，大大提升了城市形象！,1,4
48,转业士官安置 尊敬的书记你好，我想问一下我们2015年底回来的转业士官什么时候才能安置。,1.5,5.5
49,昌都车管所应该开办摩托车驾驶证 经过在昌都车管所咨询得知，昌都目前没有开办摩托车驾驶证和汽车驾驶证上增驾摩托车的相关业务，这很不符合道路交通准则，也影响了本地摩托车用户的利益，因此希望有关部门能及时开通相关业务，以此为谢！,4,4.5
50,杨庄科安置小区电梯问题，请回复 杨庄科安置小区高层5号楼2单元电梯故障半个月无人管，请问谁给维修，唯一一部电梯故障半个月，打给物业，物业解决不了，到底谁给解决？,6.5,7.5
51,水区新兴街兴亚小区卫生间下水改造 1-我们非常感谢政府给我们改造老旧小区。2-可是施工给我们带来太多不便，和质量问题3-现在以是10月20号了因为改造我们还没有供暖4-我的卫生间施工方以全部拆除十三天了，拆除时水管砸坏，工人干活不是没料就是没人，十几天了把砖贴上后又发现漏水，又砸瓷砖5-一个卫生间两天的工程我想问一个月能完工吗？.6-这个工程有质量监督的吗？我是没发现有！7-房屋没水，卫生间不能用，还没暖气，,6,6
52,白桦林路运渣车，晒水车扰民 每天晚上，大量满载的运渣车从锦江大道拐进白桦林路，噪音吵的人无法入睡，每天早上6点，晒水车就开始作业，高频音乐把人惊醒。如此噪音严重影响小区居民的生活和工作，望有关部门能体谅民众疾苦，还社会以和谐。,6,4.5
53,大连金州区中长街道动迁安置费问题 金普新区中长街道进行棚户区改造，已经一年半没有给动迁户安置费了，想问动迁安置费什么时候能给？,4,7
54,只怕到了汛期，河堤会随流而去 贾书记您好，打扰您了，怎么我们礼辛乡，上街村，乡家磨的采砂厂如此猖狂采挖，河床挖的哪么深，到现在还不停的采挖。我们老百姓都看不下去了，才找您，难道为了砂厂老板的利益，真的要让河堤付之东流吗？望贾书记能够采取一点措施前来制止，礼辛人民等您了！,6,4
55,施工车辆噪音扰民 我是花果园V区18栋3单元住户，旁边污水处理厂施工的水泥罐车，渣土车整夜不停的运作，几分钟就一辆，晚上彻夜难眠，白天工作无神，苦不堪言。向12369投诉过，也没什么效果。望领导重视！,4,6
56,双维花溪湾欺骗业主，房产证迟迟不给业主办理 尊敬的杨书记，请为我们老百姓做主。花了所有积蓄买了双维花溪湾小区的房子，6年了，房产证迟迟不给我们办理，每次咨询都说人不在，正在办来敷衍我，我只是个普通老百姓，我能做的只是等等等，我希望能尽早拿到我们应该拿到的东西。请为我们督促开发商，尽快办理。,3.5,3.5
57,海都园小区物业问题 您好，我是古林街海都园住户，现小区华楠物业至今未对二次供水清理，消防系统未修，小区保洁和保安人员配备数量与物业合同不符，小区杂草不清理！请相关部门监督该物业履行责任,6.5,6
58,农村土地流转什么时候才能得到实费， 尊敬的县委领导！你好！我是开江县回龙镇陈家勾村村民，我想了解一下我们的土地被承包商承包快两年了，为什么一直没有得到真正的实费，到目前为止还没有拿到一分钱的承包费，也不知道要到什么时候有有这款项，二，我们的村公路改造，和修建自来水工程占用土地有没有一个相应的赔偿，三，我们农村煤改气，开户每户是交了3600，00块钱，为什么只告主管分管还要自己出50块钱一米，安个天然气都得花5.6千每户，请问国家有没有补助金，到哪里去申请补助金，希望县领导给解释一下谢谢,5,4
59,投诉，环境 你好，我是槟榔西里70号的住户，我们门口长期堆积着装修垃圾及生活垃圾，没人清理，往员当物业槟榔西服务中心反映了多次，他们每次都以叫车贵为由拖拉着不予办理。现在天气越来越热了，蚊虫、苍蝇、老鼠就别提有多少了，这还是美丽文明的厦门吗？天天都在喊创建美丽厦门、文明厦门，这些口号不是只做做表面文章就可以实现的，老百姓的日子是要靠实实在在过出来的，希望有关部门能重视这些老旧小区现实存在的问题，确确实实为老百姓办点实事！！！,7,7.5
60,买房无法用公积金贷款 刘书记您好；我是夏县水头镇水头村的一个农民，从2005年进入社会就在北京打工。公司给我们交了住房公积金。17年10月为了小孩上学家里和我凑了点钱在盐湖区条山街与中银北路交汇处天鹅湾小区交了首付够买了期房，我们本以为可以用住房公积金贷款。销售说房产公司可以给我们做抵押，交1万7就可以，但是去交资料的时候又说公司不能抵押。现在还必须抵押一套市区的房产证才能申请。当时我一听就蒙了，我们家祖上都是农民，在市里哪有什么房产。找了好多关系好不容易找到一个在夏县买的经济适用房的朋友可以借房产让我们用，但是现在又说必须房产当时购买要高于43万以上才可以用，这不是为难我们吗？都是农民打工的能找到房产证就已经很困难了，然后售楼部说让我商贷，商贷我得贷46万多，要比公积金贷款利息多10万多。10万对于我们普通老百姓打工省吃减用要3年才能存够。国家给我们老百姓的公积金福利用不到，别提我心里有多难受。我只是想让小孩受到更好的教育，让他将来能成为对国家对社会有用的人这有错吗？我同事在大同市天镇县买的房，很轻松就贷到公积金款了，也不用房产证抵押，也不用担保人，只是用正常的材料就贷到款了。我在想同是山西人，我们运城人怎么了待遇差别怎么就这么大。刘书记您是位为老百姓办事的好官，麻烦您帮帮我。万分感激，谢谢！,5,3
61,鼎世华府B区商铺开旅馆并在封闭式小区内进出 海尔鼎世华府B区1号楼二层商铺私自开设出租性公寓对外开放，并非法利用封闭式小区内部的消防通道作为租客正常进出口，此行为对本小区全体业主造成严重的安全隐患恐慌！此公寓有相关手续吗？安全通道作为人员出入口合法吗？流动人口带来的安全隐患谁担责？作为本小区的业主！坚决抵制将进出口设在小区内！,6.5,9
62,公共交通问题 尊敬的领导，您好，我想问一下五莲城区什么时候有共享单车，现在日照莒县岚山都有了，五莲什么时候可以拥有，因为有了共享单车可以方便市民出行，,4,5.5
63,征地补偿 市长您好，我是高新区万水泉镇同官村村民，我村土地征收了，老户把钱也分了，我们新户(三十年的户)，啥也不给，村里说是空挂户，养老也不给办，他们怎么说无所谓，但是我们这个空挂户群体谁来管啊，我们的保障在哪里，煤补也没有，养老没有，集体补偿不给我们，多次找镇里区里无果，自好通过人民网给您写信，请您重视一下我们这个群体好吗，期待您的答复,5.5,3.5
64,学校门口食品没有保证 现在学校门口充斥着垃圾食品，都是不健康的零食，无证摊点很多，建议执法部门开展集中整治，保证学生的食品安全。,6,7
65,顺庆区进城务工人员子女如何入学 吴市长，您好！非常抱歉打扰到您，我是顺庆区桂花乡人，在市里打工已经一年多了，现在女儿已经6岁，我是离异，孩子一直由娘家父母在乡下照顾，现在父母身体不好不能照顾。我想让孩子来市里读书，可以，面对就近读书的五个要求把我难住了，我租在倒闭的工厂宿舍里，所以没有租房备案，以前也是在小老板那里打工，也没有买社保，这样子我的孩子能不能读书，在哪里读书就是大麻烦，面对天价的择校费，我真的无力支付！,1,2
66,关于大英蓬莱镇青龙坡村四社安置房违约分房问题 市长，您好！我叫冯毅，今年28岁。2012年位于遂宁市大英县蓬莱镇青龙坡村四社的家因政府规划提出拆迁，我们第一时间同意拆迁并签订拆迁补偿安置协议书，协议明确规定分房顺序按照签订协议时间、房屋拆迁完毕时间和结账时间之和的总顺序号，依次选房。我们积极响应，排号靠前为23号。2018年10月，第一批安置房分配人口公示名单“蓬莱镇青龙坡村4、5社2号地块安置房分配人口公示”出炉，我们公示序号为23，当时拆迁面积共计251.23平米，按照公示我们能先分到1套房。2018年11月我们去蓬莱镇镇政府拆迁办登记时却被告知我们不能登记分房，政府工作人员以及刘欣镇长推翻协议，推翻公示，说因房子数量不够，不按协议执行，优先分给户口在当地的居民，我们这类户口不在当地的居民最后考虑。但是，工作人员不能出示任何有房无户居民不能分房的文件。我在外地打工，父母年事已高，爷爷奶奶身体也不好，奶奶甚至身体半瘫，我们一家挤在五十平米的公租房里，老人爬上爬下，还时常停水，生活极其不便。我快三十岁了，还等着安置房下来结婚，苦苦等了6年，眼看梦想就要破灭了。我们有协议约定以及公示文件的支持却不能登记分房，请市长还我们公平，替我们做主，谢谢！,6,3
67,关于安达街交德惠路糖炒栗子商贩噪音扰民问题 安达街交德惠路路口靠安达街西侧（农业银行前），有一处卖瓜子和糖炒栗子的商户，每天10点至18点用高音喇叭叫卖，街对面就是安达小学，高音喇叭的叫卖声已严重影响当地居民的正常生活和小学的正常学习秩序，有居民已多次向110反映，民警同志也来到此处对他进行了劝诫，但民警同志走后就又把高音喇叭打开，继续叫卖，请市长帮助协调，制止引商贩的噪音扰民行为！,6,6
